,city,lat,lon,country,date,maxtemp,humidity,clouds,wind
119,Mana,43.52,20.24,RS,1556911800,57.2,62,0,3.36
120,Hualmay,-11.1,-77.61,PE,1556913029,65.39,91,1,13.53
121,Mayumba,-3.44,10.65,GA,1556913451,81.41,85,99,8.86
122,East London,-33.02,27.91,ZA,1556912971,59.63,75,99,8.39
123,New Norfolk,-42.78,147.06,AU,1556912955,51.01,71,62,4.7
124,Ribeira Grande,38.52,-28.7,PT,1556910000,60.8,93,75,6.93
125,Geraldton,49.72,-86.95,CA,1556910000,46.4,49,90,5.82
126,Codrington,-28.95,153.24,AU,1556912934,68.0,93,99,4.32
127,High Level,58.52,-117.13,CA,1556910000,32.0,21,40,14.99
128,Ahipara,-35.17,173.16,NZ,1556912718,50.0,100,0,9.35
129,Carnarvon,-30.97,22.13,ZA,1556912978,59.27,42,0,9.48
130,Tasiilaq,65.61,-37.64,GL,1556909400,35.6,55,75,3.36
131,Rocha,-34.48,-54.34,UY,1556913416,60.89,90,25,3.96
132,Longonjo,-12.91,15.25,AO,1556913454,59.81,68,27,3.58
133,Mandurah,-32.55,115.7,AU,1556913432,63.0,48,90,10.29
134,Galle,29.74,-97.91,US,1556913446,81.0,69,90,6.93
135,Alofi,-19.06,-169.92,NU,1556910000,77.0,88,90,11.41
136,Cherskiy,68.75,161.3,RU,1556913034,31.73,87,76,2.35
137,Beloha,-25.17,45.06,MG,1556913455,74.03,58,0,5.99
138,Impfondo,1.62,18.06,CD,1556913059,79.79,66,25,2.46
139,Batemans Bay,-35.71,150.18,AU,1556912823,52.0,90,0,5.01
140,Rundu,-17.91,19.77,NA,1556910000,71.6,35,0,2.24
141,Muroto,33.37,134.14,JP,1556913456,55.67,64,0,6.42
142,Ajdabiya,30.75,20.22,LY,1556913456,71.33,45,100,8.59
143,Namibe,-15.19,12.15,AO,1556912958,72.05,79,6,5.39
144,Luderitz,-26.65,15.16,NA,1556910000,62.6,82,0,10.29
145,Lebu,8.96,38.73,ET,1556910000,69.8,26,20,16.11
146,Lorengau,-2.02,147.27,PG,1556912672,77.81,89,100,10.22
147,Husavik,50.56,-96.99,CA,1556913373,55.99,81,83,7.0
148,Gondar,41.82,-8.78,PT,1556913193,69.01,55,0,10.29
149,Torbay,47.66,-52.73,CA,1556913215,39.2,93,90,23.04
150,Matara,-13.74,-72.9,PE,1556910000,57.2,54,40,10.25
151,Taoudenni,22.68,-3.98,ML,1556912971,89.51,10,68,11.07
152,Dicabisagan,17.08,122.42,PH,1556913459,73.49,88,0,1.36
153,Krizevci,46.02,16.54,HR,1556913344,55.4,82,0,4.7
154,Imbituba,-28.24,-48.67,BR,1556910000,84.2,66,0,13.87
155,Fairbanks,64.84,-147.72,US,1556913357,39.0,69,90,8.05
156,Khani,41.96,42.96,GE,1556911800,55.4,93,75,2.24
157,Zaraza,9.35,-65.33,VE,1556913461,91.13,47,95,13.56
158,Cabo San Lucas,22.89,-109.91,MX,1556912712,88.0,34,75,11.41
159,Agadez,16.97,7.99,NE,1556909760,102.2,6,1,6.02
160,Jalu,29.03,21.55,LY,1556913462,80.15,17,77,7.96
161,Tabou,4.42,-7.36,CI,1556913462,76.55,93,100,2.91
162,Rajapur,25.39,81.15,IN,1556913463,88.79,46,94,3.56
163,Lazarev,52.23,141.51,RU,1556913463,33.17,96,99,6.76
164,Wanning,48.64,13.53,AT,1556913001,51.01,81,75,4.7
165,Morondava,-20.3,44.28,MG,1556913463,80.51,70,0,13.18
166,Honiara,-9.43,159.96,SB,1556910000,75.2,100,20,3.91
167,Ponta do Sol,-20.63,-46.0,BR,1556912942,69.17,90,97,2.55
168,Chalchihuites,23.48,-103.88,MX,1556913464,77.99,11,100,18.59
169,Lucea,18.44,-78.17,JM,1556912794,87.8,66,20,26.4
170,Nome,30.04,-94.42,US,1556913011,79.0,100,75,3.36
171,San Quintin,17.54,120.52,PH,1556913036,76.73,70,0,2.71
172,Guarapari,-20.67,-40.5,BR,1556910000,82.4,74,40,14.99
173,Arraial do Cabo,-22.97,-42.02,BR,1556910000,84.2,83,20,18.34
174,Westerland,52.89,4.93,NL,1556913440,45.0,81,75,25.28
175,Ixtapa,20.71,-105.21,MX,1556912713,84.2,51,75,9.17
176,Maceio,-9.67,-35.74,BR,1556913600,80.6,65,0,8.05
177,Bambous Virieux,-20.34,57.76,MU,1556912940,77.0,69,40,10.29
178,Provideniya,64.42,-173.23,RU,1556912990,31.73,94,100,3.67
179,Prachuap Khiri Khan,11.81,99.79,TH,1556913469,74.03,99,99,3.0
180,Korop,51.57,32.95,UA,1556913471,51.71,92,87,6.55
181,Kavaratti,10.57,72.64,IN,1556912977,84.47,66,90,8.97
182,Kailua,21.39,-157.74,US,1556913400,81.0,74,90,9.17
183,Linxia,35.6,103.21,CN,1556913472,50.63,68,96,1.19
184,Itupiranga,-5.13,-49.33,BR,1556910000,93.2,56,20,8.05
185,Saldanha,41.42,-6.55,PT,1556913005,58.55,55,33,2.39
186,Hermagor,46.63,13.37,AT,1556913357,54.0,96,100,4.21
187,Danville,36.59,-79.4,US,1556913254,84.99,42,40,6.93
188,Chuy,-33.69,-53.46,UY,1556912956,68.09,77,86,9.1
189,Clyde River,70.47,-68.59,CA,1556911560,24.8,100,90,5.82
190,Alpena,45.06,-83.43,US,1556913308,52.0,66,1,9.17
191,Severo-Yeniseyskiy,60.37,93.04,RU,1556913049,34.07,86,99,10.6
192,Sunnyside,47.86,-53.92,CA,1556913475,41.09,73,85,18.34
193,Santa Isabel do Rio Negro,-0.41,-65.02,BR,1556913475,79.79,93,100,2.51
194,Baghdad,33.3,44.38,IQ,1556910000,82.4,23,20,6.93
195,Praia da Vitoria,38.73,-27.07,PT,1556912795,64.4,88,75,20.0
196,Puerto Carreno,6.19,-67.49,CO,1556910000,82.4,83,90,5.82
